0,-0.663,-0.6317,-0.4166,0.6899
1,0.5018,-0.9757,-0.2342,0.6473
2,-0.6144,-0.5377,0.0,1.4085
3,0.2099,-0.5079,0.6033,0.5028
4,-0.4178,-0.3549,-0.3489,0.5189
5,-0.4015,-0.8765,0.797,1.0986
6,1.8246,-0.5858,-0.1584,0.7217
7,0.3728,-0.5024,0.5504,0.6931
8,-0.9908,-0.0705,-0.3452,1.071
9,-0.2346,-0.4669,-1.1556,0.5209
10,0.2748,-0.344,-0.1628,0.8091
11,-1.283,-0.4954,-0.4696,0.5062
12,0.2429,-0.6291,-0.6139,0.6701
13,-0.2737,-0.5857,0.05,0.6578
14,0.633,-0.0768,0.7012,0.6838
15,-0.4476,-0.4007,-0.149,1.1248
16,0.1524,-0.3819,-0.4014,0.8147
17,-0.7664,-0.9141,0.1368,0.4822
18,-0.4273,-0.2673,1.0973,0.7851
19,-0.2994,-0.2972,0.6644,0.9074
20,-0.6003,-0.6415,0.7098,0.4908
21,0.0458,-0.1728,0.7128,0.606
22,-0.2006,-0.5651,-0.7717,0.7914
23,-0.5905,-0.3399,-0.7445,0.6094
24,-0.4178,-0.4957,-1.7069,1.0164
25,-0.1606,-0.4689,0.8607,0.778
26,0.2914,-0.4685,0.5932,0.9511
27,0.8001,-0.5206,-0.7196,0.8432
28,-0.7568,-0.5082,-0.2211,0.2284
29,-0.2347,-0.7778,-0.8995,0.3167
30,0.2913,-0.3406,-0.7765,0.5053
31,-0.5788,-0.7907,0.3799,0.5142
32,0.6303,-1.1611,-1.2638,0.9736
33,-0.2888,-1.0677,1.4723,0.9353
34,0.188,-1.2026,0.5661,0.7476
35,-0.1848,-0.6384,-1.2903,0.447
36,0.23,-0.2691,0.4012,0.8537
37,0.082,-0.3876,1.4534,0.7713
38,-1.1176,-0.4043,-0.2851,0.4777
39,-0.9105,-0.3194,-0.5137,0.7031
40,-0.6428,-0.2169,-0.3326,0.6458
41,-1.0936,-0.8609,0.6979,0.5017
42,0.6599,-0.3837,0.1987,0.8184
43,-0.0227,-0.2042,0.0578,0.4105
44,-0.2172,-0.0935,-0.8268,0.7598
45,-0.0642,-0.212,-0.6089,1.1202
46,-0.7519,-0.4737,-0.7867,0.8147
47,-0.4106,-0.9113,0.2237,0.5233
48,0.4858,-1.187,1.109,0.7526
49,1.2353,-0.2941,0.0652,0.7323
50,-0.2874,-0.2932,-0.0573,0.4195
51,-0.0901,-0.3341,0.1525,0.8728
52,0.4108,-1.1261,0.2162,1.1902
53,0.4324,-0.5601,-0.6729,0.6514
54,1.3858,-0.593,0.4638,0.7897
55,0.5247,-0.7979,-1.2537,0.7053
56,0.1524,-1.1838,-0.1007,0.8436
57,-0.0791,-0.5881,-1.264,0.5691
58,-0.7521,-0.2827,0.193,0.9051
59,-1.0926,-0.8441,0.1749,0.7722
60,0.7313,-0.662,-0.409,0.9826
61,-0.5672,-0.625,0.8501,1.1808
62,-0.2575,-0.8674,-0.3486,0.0311
63,0.5878,-0.0518,0.2798,0.5601
64,-0.718,-0.6155,0.2537,1.0299
65,0.927,0.013,0.3774,1.1094
66,-1.7054,-0.8218,0.1777,0.5381
67,-0.1584,-0.4447,0.5685,0.8434
68,0.2107,-0.5332,0.4392,1.1003
69,-0.2849,-0.3715,0.1944,0.7476
70,-0.6004,-0.6734,-0.2581,0.9123
71,0.3694,-0.268,0.0115,0.483
72,0.2439,-1.0595,0.6646,1.2414
73,-0.6334,-0.646,-1.4555,0.727
74,-0.2408,-0.4297,0.3379,0.74
75,0.8707,-0.2342,-0.2146,0.97
76,-0.8646,-0.9714,-0.8567,1.2354
77,-0.6945,-0.7618,-0.1068,0.7641
78,0.5708,-0.1617,-0.1093,0.6634
79,-0.514,-0.7413,-0.6213,0.6515
80,0.1307,-0.2551,0.4407,0.7399
81,0.555,-0.7624,1.1316,0.9854
82,1.3169,-0.4497,-0.822,1.2621
83,-0.0944,-0.7611,-1.4423,0.236
84,0.2244,-0.343,-0.3143,1.2352
85,0.0101,-0.3005,-0.6924,0.5471
86,-0.7677,-0.337,0.0714,0.7775
87,0.2303,-0.4902,0.2511,0.0621
88,0.4861,-0.3158,0.7386,0.7975
89,-0.5125,-0.8313,0.7175,0.5832
90,0.6388,-0.4197,-0.6083,0.8315
91,0.9541,-0.4234,-1.0902,0.8007
92,-0.1754,-0.4275,-0.0416,0.9318
93,-0.3894,-0.4676,0.7469,0.9212
94,0.207,-0.4067,0.7905,1.0485
95,0.4414,-0.9731,-0.8775,0.6047
96,0.017,-0.7949,-1.0965,0.7474
97,-0.6349,-0.7854,-0.5221,0.5188
98,0.1335,-0.2785,-0.2612,0.5221
