0,0.161,-0.1866,0.2199
1,0.2164,-0.1539,0.1444
2,0.1944,-0.1969,0.1416
3,0.1719,-0.0715,0.1093
4,0.1957,-0.1145,0.0538
5,0.1504,-0.1571,0.2279
6,0.1767,-0.2136,0.1592
7,0.1136,-0.0421,0.2491
8,-0.0552,-0.1656,-0.0975
9,0.2112,-0.1097,0.1246
10,0.168,-0.2041,-0.0082
11,0.083,-0.1324,-0.0757
12,0.205,-0.1863,0.1442
13,0.1626,-0.1005,0.2257
14,0.2062,-0.1921,0.1292
15,0.192,-0.2117,0.0901
16,0.1929,-0.1948,0.0475
17,0.1966,-0.1728,0.1509
18,0.1967,-0.1371,0.0857
19,0.0962,-0.0932,-0.0944
20,0.1946,-0.1257,0.1885
21,0.1165,-0.1146,-0.0709
22,0.1977,-0.1672,0.1789
23,0.1121,-0.1665,0.2813
24,0.1693,-0.0489,0.1723
25,0.1983,-0.1409,0.0887
26,0.1691,-0.1383,-0.0379
27,0.2114,-0.1156,0.1711
28,0.1914,-0.0437,0.0868
29,0.1866,-0.1645,0.1849
30,0.1546,-0.1645,0.2442
31,0.1652,-0.2196,0.0207
32,0.183,-0.2164,0.176
33,0.1595,-0.1499,-0.029
34,0.131,-0.1268,-0.0589
35,0.2011,-0.0719,0.0762
36,0.1423,-0.1776,-0.0527
37,0.1826,-0.2007,0.06
38,0.1439,-0.2581,0.1272
39,0.1246,-0.263,0.1964
40,0.2091,-0.1415,0.0327
41,0.1433,-0.2204,0.2197
42,0.1739,-0.1668,0.0258
43,-0.0116,-0.2117,0.2677
44,0.1565,-0.1787,0.1416
45,0.1828,-0.2062,0.009
46,0.1735,-0.1552,-0.0154
47,0.1353,-0.273,0.1419
48,0.198,-0.0744,0.0491
49,0.2005,-0.1209,0.0507
50,0.0202,-0.1933,-0.1055
51,0.1913,-0.201,0.0446
52,0.1377,-0.125,0.2704
53,0.187,-0.158,0.1307
54,0.1832,-0.2187,0.1583
55,0.1413,-0.1156,0.2721
56,0.1628,-0.1067,-0.0318
57,0.1957,-0.109,0.071
58,0.1741,-0.2261,0.0852
59,0.0879,-0.2073,-0.0614
60,0.2216,-0.1054,0.1098
61,0.1072,-0.1964,-0.0539
62,0.1534,-0.1509,0.2476
63,0.1145,-0.154,0.2825
64,0.1311,-0.2142,0.0256
65,0.1875,-0.0203,0.1056
66,0.2068,-0.1633,0.082
67,0.1744,-0.19,-0.01
68,0.21,-0.0982,0.1145
69,0.2063,-0.1793,0.0379
70,0.1887,-0.0318,0.054
71,0.1865,-0.2093,0.121
72,0.0328,-0.1382,-0.098
73,0.2206,-0.131,0.0852
74,0.0675,-0.1494,0.2925
75,-0.0274,-0.1413,0.3034
76,0.1954,-0.2158,0.1108
77,0.1624,-0.174,0.1939
78,0.213,-0.1616,0.0539
79,0.141,-0.127,0.257
80,0.1446,-0.1921,-0.0356
81,0.1598,-0.2003,-0.0072
82,0.1378,-0.0599,-0.0635
83,0.1069,-0.2555,0.2319
84,0.1626,-0.0352,-0.0137
85,0.1587,-0.2107,0.1969
86,0.1807,-0.0485,0.0485
87,0.0435,-0.073,-0.0883
88,-0.0214,-0.1964,0.2843
89,0.1672,-0.1475,0.2173
90,0.1732,-0.1164,-0.016
91,0.1929,-0.0692,0.1089
92,0.2021,-0.1048,0.1547
93,0.1891,-0.2089,0.108
94,0.2004,-0.0944,0.1484
95,0.1696,-0.1769,-0.023
96,0.1564,-0.2151,0.0561
97,0.0521,-0.208,-0.0817
98,0.0274,-0.1631,0.305
99,0.2085,-0.1176,0.0544
100,0.1359,-0.0933,-0.0683
101,0.136,-0.2591,0.0138
102,0.1474,-0.0658,0.264
103,0.1668,-0.1516,0.2215
104,0.177,-0.0732,-0.019
105,0.1841,-0.2103,0.151
106,0.1655,-0.1621,0.2133
